"","Date","Unknown","Male","Female","Customer","Subscriber","maximum.temperature","minimum.temperature","average.temperature","precipitation","snow.fall","snow.depth","Not.Available","Below.20","X21.to.30","X31.to.40","X41.to.50","X51.to.60","Above.60","Trips","Total.Miles.Travelled","Days","WeekendIndicator","Morethan38K"
"1","1/1/2016",2524,6322,2163,2501,8508,42,34,38,"0","0","0",2501,54,1910,2902,1609,1368,665,11009,24429,"Friday",1,0
"2","1/2/2016",2497,8968,3122,2453,12134,40,32,36,"0","0","0",2453,87,2643,4186,2417,1945,856,14587,29093,"Saturday",1,0
"3","1/3/2016",2176,9903,3420,2131,13368,45,35,40,"0","0","0",2131,85,3055,4670,2621,2036,901,15499,29616,"Sunday",1,0
"4","1/4/2016",683,15081,3829,642,18951,36,14,25,"0","0","0",642,101,3442,6161,4734,3223,1290,19593,36172,"Monday",0,0
"5","1/5/2016",526,14093,3434,482,17571,29,11,20,"0","0","0",482,104,3315,5883,4376,2756,1137,18053,32049,"Tuesday",0,0
"6","1/6/2016",922,18697,4950,875,23694,41,25,33,"0","0","0",875,126,4270,7762,5975,3987,1574,24569,40996,"Wednesday",0,0
"7","1/7/2016",960,21080,5733,905,26868,46,31,38.5,"0","0","0",905,108,5026,8907,6526,4548,1753,27773,45986,"Thursday",0,0
"8","1/8/2016",1212,21575,5922,1151,27558,46,31,38.5,"0","0","0",1151,153,5192,9128,6785,4510,1790,28709,47061,"Friday",1,0
"9","1/9/2016",1736,14215,4895,1687,19159,47,40,43.5,"T","0","0",1687,119,4553,6889,3620,2862,1116,20846,37341,"Saturday",1,0
"10","1/10/2016",964,10098,3213,924,13351,59,40,49.5,"1.8","0","0",924,66,3525,4879,2338,1746,797,14275,25404,"Sunday",1,0
"11","1/11/2016",587,17843,4507,535,22402,40,26,33,"0","0","0",535,92,4245,7460,5531,3693,1381,22937,37393,"Monday",0,0
"12","1/12/2016",529,19571,5111,470,24741,44,25,34.5,"0","T","0",470,108,4701,8265,6088,4075,1504,25211,38958,"Tuesday",0,0
